#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2023-07-05-13-35-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1536925231.782367	CWvYyO2Q6eDHdbzN0f	fe80::5bcc:698e:39d5:cdf	5353	ff02::fb	5353	udp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1536925243.408178	CD7TmQ14kuW8UAAX04	fe80::66db:8bff:fe21:4ccf	5353	ff02::fb	5353	udp	dns	-	-	-	S0	-	-	0	D	1	740	0	0	-
1536925246.034637	CJeVyM2cIhAw4lOvG2	fe80::5bcc:698e:39d5:cdf	5353	ff02::fb	5353	udp	-	-	-	-	OTH	-	-	0	CC	0	0	0	0	-
1536925261.063727	CczqqV3PpdePkcwEqj	fe80::5bcc:698e:39d5:cdf	5353	ff02::fb	5353	udp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1536925277.063927	CJmHxQ1gtcXX1eZyk9	fe80::5bcc:698e:39d5:cdf	5353	ff02::fb	5353	udp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1536925244.932593	CpXoqd1Ua51qZDieC9	::	135	ff02::1:ffd5:cdf	136	icmp	-	-	-	-	OTH	-	-	0	-	1	72	0	0	-
1536925245.956635	CTjRdO1wOvzMjY8N2e	fe80::5bcc:698e:39d5:cdf	143	ff02::16	0	icmp	-	0.351892	100	0	OTH	-	-	0	-	4	324	0	0	-
1536925245.957849	C1Y91Y1vTzTZJN7lRg	fe80::5bcc:698e:39d5:cdf	133	ff02::2	134	icmp	-	-	-	-	OTH	-	-	0	-	1	48	0	0	-
1536925307.533874	CDCiCFt618ndzyFFf	fe80::66db:8bff:fe21:4ccf	5353	ff02::fb	5353	udp	dns	-	-	-	S0	-	-	0	D	1	740	0	0	-
1536925227.140658	CFnqD41nzmET64Rqp2	0.0.0.0	68	255.255.255.255	67	udp	dhcp	59.367988	2400	0	S0	-	-	0	D	8	2624	0	0	-
1536925243.956551	CI7ik11VwIX0s9mkKg	::	143	ff02::16	0	icmp	-	45.679981	260	0	OTH	-	-	0	-	5	540	0	0	-
1536925426.560537	CDr9l74ZfCet6w8qd1	192.168.100.102	5353	224.0.0.251	5353	udp	dns	7.003500	820	0	S0	-	-	0	D	4	932	0	0	-
